dimension,rank,doc_id,title,year,section,snippet,metrics,evidence_strength,semantic_score,structural_score,recency_score,diversity_score,final_score
Interoperability,9,DCQ4IEGI,Overview on the Blockchain-Based Supply Chain Systematics and Their Scalability Tools,2021,Methodology,"solution of Ambrosus is not a DLT-based system. It relies on participants' capacities to store the data  including  IoT devices. Ambrosus does not respond to computing and storage concerns to enhance IoT integration with the supply  chain. Emerging Science Journal | Vol. 4  Special Issue ""IoT  IoV  and Blockchain""  (2020  2021)  Page | 59  5-2-5- Modum  Modum [96] is a supply chain for monitoring solutions that control the distribution of immense volumes of sensitive  goods  especially pharmaceutical ones. It comprises the Ethereum blockchain network  the API applications  and a  specific sensor called modum tem perature logger. Modum architecture constitutes of frontend and backend phases  as  illustrated in Figure 6. The backend comprises an Ethereum network  smart contracts  and a specific server connected  directly to external users. The frontend comprises senso rs and mobile applications connected to the HTTPS server in  the backend via REST API and JSON. The SensorTag (Logger) is the top added value that is used to measure the  environmental conditions of the shipments. Each logger owns a unique MAC address repres ented in QR code and each  shipment has its unique QR named ""track and trace."" Both QR codes to be scanned by the user's mobile applications  and sent to the server. In case the server is not available  data will be stored on the logger's internal memory. On ce  received the combination QR codes  the server broadcasts the smart contract  then store the ID of the smart contract on  the sensor. Then the client scans the ""track and trace"" code and requests the temperature measurements from the sensor  via BLE ""Bluetooth low energy."" The smart contract obtains the data for verification purposes and sends back a report  to the mobile client. It certifies data authenticity at every change of ownersh ip. The evaluation results are immutably  stored in a Blockchain as of proof-of-existence. In this way  open the package to verify the content become useless.",tps,strong,0.0024,1.3,1.0,0,0.3617
Interoperability,10,WIVMTFM7,A Blockchain Architecture for Trusted Sub-Ledger Operations and Financial Audit Using Decentralized Microservices,2022,Introduction,and V echain both use PoAuthority. Proof of Reputation (PoR) is a version of PoAuthority in which a reputable institution serves as the validator instead of an authorized identity. Trading platforms Gochain and Menlo one are now using PoR. Because a ﬁxed group of validators mining  the PoAuthority  and PoR algorithms make the blockchain network less decentralized  furthermore  they have not been thoroughly tested for performance and security issues [12]  [27]  [28]. E. DECENTRALIZED FINANCE DEFI AND SMART CONTRACTS Decentralized ﬁnance (DeFi) is a Blockchain-based ﬁnancial infrastructure that has recently grown in popularity. The term refers to a set of protocols established on open  unlicensed  and highly interoperable public smart contract systems  such as the Ethereum blockchain [6]  [18]. Traditional ﬁnancial services have been updated to be more open and transparent. The problem  in particular  does not rely on centralized orga- nizations or intermediaries. Instead  decentralized applica- tions and open protocols are used (DApps). The code ensures that agreements are followed  that transactions are safe and secure  and that allowed status changes are recorded on a public blockchain. As a result  this architecture can create an irreversible and highly interoperable ﬁnancial system with unparalleled transparency  equal access rights  and little need for custodians  central clearinghouses  or escrow services because ‘‘smart contracts’’ can handle the majority of these functions. DeFi uses a multi-layered architecture. Every layer has a distinct role. The layers are built on top of each other  resulting in an open and highly composable infrastructure that anyone can build on  rehash  or use. Here are the different layers of the DeFi stack [21]  [6]  for example: - The settlement layer allows the network to securely store ownership data and guarantees that any state changes adhere to its set of rules. - The asset layer: This category includes all assets issued on top of the settlement layer. This includes the native protocol asset as well as any other assets that have been issued on this Blockchain (usually referred to as tokens). - The protocol layer: The standards cover speciﬁc use cases such as decentralized exchanges  debt markets  derivatives  and on-chain asset management. These standards are commonly implemented as a set of open-access smart contracts (or DeFi applications).,security,weak,0.0028,1.2,1.0,0,0.3419
Interoperability,11,3H8949AZ,Emerging advances of blockchain technology in finance: a content analysis,2023,Introduction,m  which  was developed on the Ripple platform.1 Because of the rapidly   * Xuefeng Shao   david.shao@newcastle.edu.au  Rashikala Weerawarna   Rashikala.Weerawarna@holmesglen.edu.au;  rashikala.weerawarnapattiyakumburage@uon.edu.au  Shah J. Miah   shah.miah@newcastle.edu.au 1 Newcastle Business School  University of Newcastle   Newcastle  NSW  Australia 1 The Ripple platform is unknown as a distributed ledger that incor - porates a network of validating servers and crypto tokens called XRP   and under the Ripple network  users may develop robust and secure  1496 Personal and Ubiquitous Computing (2023) 27:1495–1508 1 3 growing use of the Ripple network  remittance companies  such as MoneyGram have also joined Ripple to overcome the  barriers of cross-border transactions and concerns with legal  compliance. The use of the Internet  the latest mobile applications   and other smart mobile devices reinforced the demand [12]  for features and services that the finance sector may offer for  effective electronic transaction processes and provisions in  financial information systems. FinTech  the combination of  technology and financial services [13  p.3; 14]  has become  a well-discussed area of study in the new era of the busi- ness industry. FinTech companies offer many services  such  as digital cash  cognitive systems  and distributed ledger  technology. Traditional financial organizations and start-up  companies are increasingly partnering with FinTech [15] to  provide user-friendly and cost-effective financial electronic  services. Blockchain is a common FinTech that transforms  how financial businesses operate  collaborate  and transact  with their stakeholders [16]. This suggests that the decentral- ized financial network is bringing about a major financial  sector revolution with the enhancement of digital wallets as a  crucial component of financial inclusion. The decentralized  electronic ledger system will transform the way transactions  are carried out  changing the shape and size of the financial  sector. Studies [1   17] have demonstrated that research on  blockchain applications can save business money and open  up new commercial and export opportunities  both of which  will expand in the near future.,,medium,0.0026,1.2,1.0,0,0.3418
Interoperability,12,Q78ELQLG,Do You Need a Distributed Ledger Technology Interoperability Solution?,2023,Introduction,be transferred from Ethereum to Polkadot  but also ERC20 assets. Distributed Ledger Technologies: Research and Practice  Vol. 2  No. 1  Article 1. Publication date: March 2023. 1:20 • R. Belchior et al. SolutionType2(Cross-Authentication). Cross-authenticationinteroperabilitysolutionsallowpartiesto exchange assets across DLTs  where each party sends a transaction on each DLT. To this end  parties need to authenticate on both chains to perform the transfers. This process typically happens without a trusted third party  as what is needed is some off-chain synchronization to set up the transactions to happen in both chains. TrustlessAssetExchangescorrespondtooneassetexchangewithnon-mediatedcommunication.Thede-facto method for implementing this scheme isHash Lock Time Contracts(HTLCs)  where both parties deploy a smart contract in each chain that transfers the right amount of coins to the other party. HTLCsconsistinfacilitatinganassetexchangebetweentwoparties(typicalcase althoughmulti-partyHLTCs exist [12 63])onadifferentblockchain(bothpartiescanaccessit).PartyfromDLT1(P1)createsasecretssuch that the hash of the secret  h(s)  is put in a smart contract on DLT 1  transferring an asset to P2. The contract is hashlockedwiths andatimelockt.Thus P2canredeemtheassetsfromDLT1withsecretsuntiltimet.Upon confirming that the contract is correctly instantiated  P2 can create a smart contract on DLT 2 with the same hashlock h(s) but a timelock t′ < t. The smart contract sends assets to P2 from DLT 2. This ensures that P1 can redeemassetsbeforeP2 withaslackt-t ′.WhenP1assertsthatthecontractfromP2ispublished thatpartycan send secret s  redeeming its assets. P2 now holds secret s  and can use it to redeem its assets on DLT 1. HTLCs imply handling the technical layer (the hashing functions that are used to construct the secret needs tobesupportedbytheinvolvedDLTs)andthesemanticlayer(theinformationexchangedhasmeaning—assets— and needs to preserve a set of rules on both chains—avoiding double spending  for instance). On the other hand  centralized asset exchanges are cross-authentication solutions that allow asset exchanges. These exchanges (also called notary schemes [12]) are a legal escrow that exchanges assets from one DLT for assets from another DLT. Decentralized exchanges are typically facilitators of such transactions by offering a bookkeeping system that matches buyers and sellers. Although decentralized exchanges running in heteroge- neous DLTs are appearing [95]  the mechanisms used for interoperation are classified as oracles.,,weak,0.0025,1.2,1.0,0,0.3417
Interoperability,13,LHSBHPMK,"Decentralized Finance (DEFI) in the U. S. economy: A review: Assessing the rise, challenges, and implications of blockchain-driven financial systems.",2024,Introduction,1.1. Unveiling the Concept of Decentralized Finance (DeFi).  Decentralized Finance (DeFi) represents a paradigm shift in the financial sector  moving away from traditional   centralized systems towards a more open  transparent  and accessible framework. This innovative concept  primarily  built on the Ethereum platform  offers an alternative to conventional financial infrastructure  leveraging blockchain  technology to democratize financial services (Umarov  Umarov  & Umarov  2022). World Journal of Advanced Research and Reviews  2024  21(01)  2313–2328  2314  At its core  DeFi is a system where financial products become available on a public decentralized blockchain network   making them open to anyone to use  rather than going through intermediaries like banks or brokerages (dos Santos et  al.  2022). Unlike traditional finance  DeFi is characterized by its open -source nature  immutable transactions  and lack  of centralized control. This means that DeFi platforms operate without a central authority  using smart contracts - self- executing contracts with the terms of the agreement directly written into code. The emergence of DeFi can be traced back to the development of blockchain technology and the introduction of Bitcoin  in 2008  which laid the foundation for decentralized financial systems. However  it was the launch of Ethereum in 2015   a Turing -complete blockchain that significantl y expanded the scope of blockchain -based financial systems beyond  simple cryptocurrency transactions (dos Santos et al.  2022). Ethereum's introduction of smart contracts enabled the  creation of more complex financial services  such as lending  borrowing  and yield farming  all operating in a trustless  environment. DeFi's growth has been meteoric  with the total value locked (TVL) in DeFi protocols surging from a mere $4 billion to  over $100 billion in just a few years  reflecting its increasing popularity and the growing trust in its underlying  technology (Jensen  von Wachter  & Ross  2021). This explosive growth can be attributed to several factors  including  the transparency of blockchain technology  the potential for higher returns compared to traditiona l banking  and the  inclusivity and accessibility of DeFi platforms. One of the most significant advantages of DeFi is its potential to offer financial services to the unbanked and  underbanked populations.,,weak,0.0024,1.2,1.0,0,0.3417
Interoperability,14,95TMJST6,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,2022,Introduction,The Internet of Things (IoT) is a network of tiny devices connected over the Internet to observe the physical world  gather data  and consciously act on it in a useful way. Billions of connected IoT devices are expected to bring a substantial added value for communities and for individuals  also in view of the fact that IoT is tightly connected with several well-known trends  such as Big Data  smart cities  and Industry 4.0  which promise to deeply change many aspects of our lives in the future. As an example  the unprecedented amount of data gathered by billions of IoT sensors will bring us the ability to get new insights and actionable intelligence regarding our world [1 2]. The pervasive presence of smart connected devices will enable the development of innovative services to improve our lives [3] and to face new and unexpected challenges  such as the COVID-19 outbreak [4]  and private and public objects (i.e.  things) will be available to anyone for renting  even for a short time  to support a new form of shared economy [5]. The general problem of giving a reward to subjects that contribute to this novel added value ecosystem is not only an economic or business-related question. Many IoT applications are peculiar regarding the amount of involved users  the volume and diversity of generated data  the frequency of economic transactions and their latency constraints  J. Sens. Actuator Netw. 2022  11  20. https://doi.org/10.3390/jsan11020020 https://www.mdpi.com/journal/jsan J. Sens. Actuator Netw. 2022  11  20 2 of 36 as well as security requirements. Hence  related technical and architectural aspects are by themselves an interesting cross-cutting dimension for many IoT applications. This is even more compelling if we observe that decentralization is going to be a fundamental aspect of evolved IoT ecosystems. In fact  a single organization handling a vast amount of heterogeneous and pervasive IoT devices is not simply unrealistic  but also unfeasible. We expect that in the more complex scenarios  many organizations will contribute to a single IoT ecosystem. Furthermore  the pervasive nature of IoT deployments usually requires the involvement of end-users that buy  deploy  and contribute their devices to an ecosystem on the basis of some kind of future advantage. Ecosystems of this kind grow as more people are willing to contribute  and not (only) under the pressure of centralized investments.,latency; tps; security,weak,0.0024,1.2,1.0,0,0.3417
Interoperability,15,P8H92LYE,A Comprehensive Survey of Blockchain Scalability: Shaping Inner-Chain and Inter-Chain Perspectives,2024,Discussion,Proof Message Blockchain C Blockchain D Figure 4: The overview of Blockchain of Blockchains. As a forerunner of public BoBs  Polkadot [130] standardizes the method for passing mes- sages between parallel chains of homogenous relay networks. It acknowledges the interoperabil- ity of parallel chains  which may engage in cross-chain interactions to reinforce the performance of one another. A standard created by Polkadot 2.0 called XCM [17] enables protocol design- ers to specify the types of data and sources from which their chains can send and receive data. It comes with one virtual machine that enables flexible execution and one virtual machine al- lows for adaptable execution. Another pioneer in the BoBs ecosystem is Cosmos. According to the IBC [67]  Cosmos is an end-to-end  connection-oriented  stateful protocol used to provide authenticated  reliable communication across diverse blockchains arranged in a dynamic topol- ogy. These advancements in the Polkadot ecosystem enhance the versatility and e fficiency of cross-chain communication and execution  ultimately contributing to the broader development of blockchain technology. Chainlink created CCIP [32]  focusing on end-to-end security  futur- istic interoperability  and an easy development process. The CCIP infrastructure consists of three layers: a message layer (programmable pass bridge)  a transport layer (CCIP core)  and a decen- tralized prophet network (DON) based on the OCR2.0 protocol. External developers only need to develop sender and receiver contracts  all other components are included in the CCIP service  and the developers can easily interact across chains through a unified interface. LayerZero [153] is a trustless interoperability protocol  which provides a powerful  low-level communication prim- itive upon which a diverse set of cross-chain applications can be built. Aion [112] enables the decentralized internet and supports a public cross-chain with the Aion Virtual Machine.,security,weak,0.0024,1.2,1.0,0,0.3417
Interoperability,16,LHSBHPMK,"Decentralized Finance (DEFI) in the U. S. economy: A review: Assessing the rise, challenges, and implications of blockchain-driven financial systems.",2024,Literature Review,ping the future of finance. 3.4. Milestones in DeFi Development in the U.S. The evolution of Decentralized Finance (DeFi) in the United States is a testament to the dynamic interplay between  technological innovation and financial services. The journey of DeFi  from its nascent stages to becoming a significant  part of the financial landscape  is marked by several key milestones that reflect its growing impact and integration into  the broader economy. The early stages of DeFi's development coincided with the advent of blockchain technology and the introduction of  Bitcoin in 2008. However  it was the launch of Ethereum in 2015  with its groundbreaking smart contract capabilities   that truly set the stage for the DeFi revolution. The United States  known for its innovative spirit and technological  prowess  quickly emerged as a fertile  ground for the growth and development of DeFi applications. Protocols such as  MakerDAO  Compound  and Uniswap gained prominence  offering decentralized services like lending  borrowing  and  trading  which challenged traditional financial models by elimina ting intermediaries (Umarov  Umarov  & Umarov   2022). A pivotal moment in DeFi's journey was its increasing integration with traditional financial systems. Major financial  institutions in the U.S. began to recognize the potential of blockchain technology i n transforming finance. This  integration marked a shift in perception  positioning DeFi not just as an alternative but as a complementary component  of the broader financial ecosystem. This period saw significant investments from traditional financial entit ies into DeFi  projects  signaling a blending of the old with the new (Ozili  2022). Technological advancements and innovations have been at the heart of DeFi's growth in the U.S. Innovations such as  yield farming  liquidity mining  and the introduction of governance tokens have not only attracted a broader user base  but have also enhanced the functionality and efficiency of DeFi services. These innovations reflect the sector's  commitment to evolving and adapting to user needs and market dynamics (Umarov  Um arov  & Umarov  2022). The Ethereum Merge  which marked the transition of the Ethereum blockchain from proof -of-work (PoW) to proof-of- stake (PoS)  was another significant milestone for DeFi.,,weak,0.0026,1.0,1.0,0,0.3018
Interoperability,17,2UZ4P6TX,Streamlining Financial Operations: Developing Multi-Interface Contract Transfer Systems for Efficiency and Security,2022,Unknown,International Journal of Computer Technology and Electronics Communication (IJCTEC)                                  | ISSN: 2320-0081 | www.ijctece.com ||A Peer-Reviewed  Refereed and Bimonthly Journal |       || Volume 5  Issue 2  March – April 2022 ||     DOI: 10.15680/IJCTECE.2022.0502004  IJCTEC© 2022                                                            |     An ISO 9001:2008 Certified Journal   |                                               4821 Streamlining Financial Operations:  Developing Multi-Interface Contract Transfer  Systems for Efficiency and Security Sirisha Meka  Engineering Manager  Credit Karma  USA  snaidu.meka@gmail.com ABSTRACT: The Contract-to-Contract (C2C) Transfers system was developed to make transferring funds and assets  between contracts within a single plan simple  secure  and accessible across devices. Originally built for internal agents   it was later enhanced to support external users  offering a seamless experience on d esktop  mobile  and tablet (iPad)  platforms. The redesign focused on creating a more intuitive and interactive interface while ensuring consistent  functionality across all devices. The system was built using Java  Spring MVC  Gradle  AngularJS  jQuery  and  FTL  with Oracle databases and both  REST and SOAP web services to connect smoothly with external systems. A modular design  clean coding standards   and automated testing with JUnit  HP ALM  and SonarQube helped ensure reliability and maintainability. Depl oyments  on Tomcat and WebLogic servers were carefully validated  keeping post-production issues to a minimum. Users benefited from faster  more responsive interfaces  and the system consistently handled transactions securely and  efficiently. The project‟s success was supported by strong collaboration across teams  structured delivery cycles  and  thoughtful attention to both technical and user experience considerations. Overall  the C2C Transfer System demonstrates how thoughtful design and careful engineeri ng can deliver a reliable   user-friendly  and scalable financial application ready for future growth. KEYWORDS: Java  Spring  AngularJS  MuleSoft  SOAP/REST  Oracle  Jenkins  SonarQube  UI Engineering  API  Integration  FinTech Applications  Multi-Platform Development  Performance Optimization.,maintainability; security,strong,0.0025,1.0,1.0,0,0.3017
Interoperability,18,BGXGTQE8,Rahasak—Scalable blockchain architecture for enterprise applications,2021,Background,Zookeeper nodes in Rahasak. Figure 7: Lokka services communicate via kafka. 4.6. Rahasak-CA Rahasak-CA is the certiﬁcate authority in Rahasak blockchain. The blockchain peers and clients public key certiﬁcates are issued by the Rahasak- CA. Apache Cassandra storage has been used as the certiﬁcate storage in Rahasak-CA. All the certiﬁcates issued by the Rahasak-CA will be stored in the Apache Cassandra storage. When bootstrapping a blockchain peer  it will generate a public-private key pair and submits the public key into Rahasak-CA. Then Rahasak-CA will digitally sign that public key and store it in the certiﬁcate storage. Then these certiﬁcates will be available for other peers and client in the blockchain network. Rahasak-CA exposes REST based API and Apache Kafka based streaming API to communicate. There are two main APIs available  1) certiﬁcate publish API  2) certiﬁcate search 17 API. Blockchain peers and clients submit their public keys into the certiﬁcate store via certiﬁcate publish API. The certiﬁcates in the Rahasak-CA can be searched via the certiﬁcate search API. 4.7. Microservice Deployment Each blockchain node in the network runs their own Aplos  Storage and Lokka services. All these services are Dockerized and available to deploy with Kubernetes container orchestration system. The administrator for each node(e.g system admin of the organization) needs to conﬁgure and deploy their own services. Kafka cluster needs to be deployed independently from the Aplos  Storage and Lokka services. For the service deployments  Rahasak provides docker-compose based deployment scripts as well as Kubernetes helm chart based deployment scripts. The Kubernetes container orchestra- tion system will manage the termination and recovery after the sudden failure of the microservices in each of the blockchain nodes. 5. Rahasak Use Case As a use case of Rahasak blockchain  a connected vehicle(e.g containers and trucks) tracking platform with integrated 5G network is presented. The proposed platform is developed for ports to track their containers and trucks using GPS enabled 5G mobile phones. As shown in Figure 8 the trucks and containers in the port travel to diﬀerent locations. Each driver in the truck is equipped with a GPS enabled 5G mobile device. These 5G mobile devices will communicate with the 5G base stations.,,weak,0.0025,1.0,1.0,0,0.3017
Interoperability,19,TBNXFLKU,Blockchain Revolution in Banking Industry,2020,Background,ased on  blockchain to exchange credit. Voltron  is an open  platform  anyone can join easily and exchange  documents to the network. This platform enables  financial industries and banks to  give low cost faster  services to the customers. IV. BLOCKCHAIN ON FINTECH AND CTYPTOCURRENCI ES  A.  Financial Technology ( FinTech)  FinTech describe large variety of emerging technologies and  innovative business models to transform financial services in  an efficient way. Nowadays FinTech become an integral part  of Banking and it started to compete with non -financial  institutes which provide services to consumers. Rapid increase  of FinTech changed the business model of banking by  providing innovative solutions. Fi nTech banks attract their  customers by providing financial services more efficient   transparent  user friendly and automated than traditional  banks. Today FinTech includes Blockchain and  cryptocurrencies  Artificial Intelligence  Machine learning   Digital advisory and training system  Mobile payment systems  and Crowd funding [16]. Among them this research will  discuss impact of Blockchain and Cryptocurrencies on  FinTech. It is hard to quantify the growth and the size of  FinTech in banking industry. As a resu lt of the growth of  FinTech  it is a new wave of digital banking startups. a) Benefits of FinTech in Banking  There are many opportunities related to FinTech in banking  Industry.  1. Offer better banking services- FinTech banks provide  financial services in cost effective and flexible way.  2. Greater Access to Capital - FinTech appears in Peer - to Peer network by providing credits to users who  cannot get bank loans.  3. Cost Advantage - This provide transactions and  services in lower cost and fast. FinTech helps to  cutoff costs like cross-border transfers and make fast,,weak,0.0024,1.0,1.0,0,0.3017
Interoperability,20,95TMJST6,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,2022,Background,The Internet of Things (IoT) is a network of physical objects—things—that are equipped with sensors  actuators  and computation and communication capabilities for the purpose J. Sens. Actuator Netw. 2022  11  20 4 of 36 of observing a physical phenomenon  delivering the monitored data over the Internet  and acting in the environment  either according to local autonomous decisions or implementing remote commands [16]. The amount of IoT devices is rapidly increasing. By 2025  forecasts suggest that there will be more than 75 billion IoT-connected devices in use  which is three times those deployed in 2019 (https://www.statista.com/statistics/471264/iot-number-of-connected- devices-worldwide/  (accessed on 28 March 2022)). The unprecedented amount of data collected by the IoT on the physical world  combined with cloud computing  promotes the development of new services  affecting many aspects of human daily life and with great market potential. Typical areas of application include manufacturing  smart city  supply chain  transportation  agriculture  energy management  environmental monitoring  and many others [16]. Lately  IoT devices have not only been exchanging data; an emerging trend is to enable Machine-to-Machine (M2M) payments  turning each connected device into a platform for selling and purchasing. By 2022  451 Research’s IoT Market Monitor expects that USD 7.5 billion in new transactions will be driven  in the US  through IoT payments (https://www. forbes.com/sites/jordanmckee/2019/10/09/the-internet-of-payments-has-arrived/?sh= 6faa22da3e69  (accessed on 28 March 2022)). A typical IoT architecture consists of things  gateways  and the cloud platform (see Figure 2) [ 17]. Usually  things support power-efﬁcient wireless technologies (e.g.  Lo- RaWAN [18]  Sigfox [19]) that  in order to limit the energy consumption and prolong the network lifetime  do not allow direct connection to the Internet. In this scenario  gateways are more powerful devices  usually not bounded by energy constraints  in charge of re- ceiving the wireless communications from the things and delivering the messages to the cloud platform over the Internet.,tps,weak,0.0024,1.0,1.0,0,0.3017
Performance efficiency,1,5UM26KXB,Optimizing Blockchain Scalability: A Distributed Computing Perspective,2023,Abstract,etwork efficiency. Artificial Intelligence (AI) for Blockchain Scalability  AI can play a crucial role in enhancing blockchain scalability by optimizing network  performance  enabling predictive sc aling  and improving consensus algorithms. Some  specific applications of AI include:  ● Predictive Load Balancing:  AI algorithms can predict transaction traffic  patterns and optimize the allocation of resources across the blockchain network. By anticipating p eriods of high demand  AI can dynamically adjust resource  allocation  ensuring the network can scale effectively without overloading nodes. ● Intelligent Consensus Mechanisms:  AI could be employed to improve  consensus algorithms  making them more efficient a nd adaptable to changing  network conditions. For example  machine learning techniques could be used to  analyze network performance and adjust parameters of consensus protocols like  Proof-of-Work or Proof-of-Stake to improve throughput and minimize latency. ● Automated Fraud Detection: AI can help detect and prevent malicious activity  by analyzing transaction patterns and identifying anomalies that could indicate  fraud. This contributes to enhancing the security and reliability of blockchain  systems as they scale.,throughput; latency; scalability; security,weak,0.003,1.4,1.0,0,0.3821
Performance efficiency,2,Q4N539WF,Integrating Blockchain Technology in FinTech Database Systems: A Security and Performance Analysis,2020,Abstract,cute  transactions simultaneously. This strategy boosts speed but needs intricate shard coordination  to preserve security and data integrity. Hybrid blockchains balance scalability and security by  combining public and private blockchains. Private blockchains may manage huge transaction  volumes in a closed network while using public blockchain security for crucial transactions. FinTech applications that need quick scalability benefit from hybrid models. Resource Efficiency and Energy Consumption  Blockchain networks also efficiently use energ y and processing power. Secure Proof of  Work is known for its energy -intensive mining  which raises environmental issues. Blockchain technology's energy needs are being scrutinized as FinTech busin esses  emphasize sustainability. Delegated Proof of Stake (D PoS) and other PoS variations use less  Asian Accounting and Auditing Advancement  Volume 11  No 1 (2020)                                                                                                    ISSN 2218-5666                                                                                               Page 137  computing resources  making them more energy -efficient. PoS techniques use validators  based on their token holdings and stackability  resulting in a reduced energy footprint  compared to PoW systems.,scalability; security; integrity,weak,0.0027,1.4,1.0,0,0.3819
Performance efficiency,3,MK5GSCBH,Optimizing systems integration for enhanced transaction volumes in Fintech,2022,Abstract,nhance operational efficiency  by automating processes  reducing manual data entry  and minimizing errors. This leads to  faster transaction processing and improved customer satisfaction (Jones  Smith & Wang   2020  Liu  Liu & Zhang  2020). Integration also enables better data visibility and analysis   allowing organizations to make informed decisions and respond more rapidly to market  Finance & Accounting Research Journal  Volume 4  Issue 5  December 2022 Adeleke  Sanyaolu  Efunniyi  Akwawa  & Azubuko  P.No. 345-363 Page 348  changes (Chen & Zhang  2021). Moreover  systems integration supports scalability by  allowing organizations to add new functionalities and services without overhauling existing  systems. For example  integrating new payment methods or financial services can be  achieved with minimal disruption to existing operations (Cooper  2017  Huang et al.  2021) . This scalability is crucial for FinTech companies that need to adapt quickly to evolving  market demands and technological advancements. Another significant opportunity is the potential for innovation. Integrated systems enable the  development of new financial products and services by combining data and capabilities from  multiple sources.,scalability,weak,0.0027,1.4,1.0,0,0.3819
Performance efficiency,4,MK5GSCBH,Optimizing systems integration for enhanced transaction volumes in Fintech,2022,Abstract,l transaction efficiency (Patel & Choi  2021   Sutherland  2014). Process automation tools can handle tasks such as data entry and  reconciliation  which traditionally require significant human effort  thereby improving speed  and accuracy. Artificial Intelligence (AI) and machine learning also play a significant role in enhancing  efficiency through decision -making automation. AI -driven systems can analyze transaction  patterns  detect anomalies  and make real-time decisions that optimize transaction processing  and fraud detection (Liu et al.  2020). For example  AI algorithms can identify suspicious  activities and flag potential fraudulent transactions  reducing the need for manual review and  increasing the overall efficiency of transaction processing. Security is a paramount concern in  systems integration  especially in the financial sector (Goodfellow  Bengio & Courville   2016  Srivastava & Jain  2017). Integrating robust cybersecurity measures wi thin the  transaction workflow is essential to protect sensitive financial data and maintain trust. This  includes implementing encryption protocols  multi -factor authentication  and secure access  controls to safeguard transaction data from unauthorized acce ss and breaches (Zhou et al.   2020).,security; accuracy,strong,0.0026,1.4,1.0,0,0.3818
Performance efficiency,5,38KDQSUD,"FRAUD-X: An Integrated AI, Blockchain, and Cybersecurity Framework With Early Warning Systems for Mitigating Online Financial Fraud: A Case Study From North Macedonia",2025,Results,• H1: synergy outperforms individual or naive combos. • H2: overhead within BFSI tolerance. • H3: strong zero-day coverage underscores synergy’s adaptiveness. B. DETAILED INSIGHTS FROM THE STUDY The FRAUD-X Synergy model consistently demonstrates superior performance across key metrics  as evidenced by the detailed analysis of results. Tables 1 and 2 compare the performance of FRAUD-X Synergy with Single-Plane AI models across the Credit Card Fraud (CC) and PaySim datasets. FRAUD-X achieves an F1 score of 85.9% on the CC dataset and 94.3% on PaySim  surpassing Single-Plane AI by approximately 4%. This improvement is corroborated by ROC curve analysis inFigures 2 and 3  where the FRAUD-X pipeline achieves near-perfect AUC values (∼0.99) compared to Single-Plane AI ( ∼0.97). These results highlight the syn- ergy’s enhanced ability to differentiate between legitimate and fraudulent transactions with higher precision and recall. Operational efficiency  as outlined in Tables 3 and 8  fur- ther validates FRAUD-X’s practicality. The system achieves an average inference time of 15.6 milliseconds per trans- action with a CPU usage of only 33%  making it feasible for real-time BFSI operations. This low overhead ensures scalability for mid-scale markets like North Macedonia. Moreover  Table 7 emphasizes FRAUD-X’s superior perfor- mance in zero-day infiltration scenarios  maintaining ∼90% recall compared to ∼75–80% for Single-Plane AI. Figure 4  a confusion matrix heatmap  showcases the model’s ability to minimize both false positives (1 105) and false negatives (71)  underscoring its balance between sensitivity and specificity.,scalability; precision; recall,strong,0.0027,1.3,1.0,0,0.3619
Performance efficiency,6,95TMJST6,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,2022,Methodology,utch grid operators. It de- velops an autonomous self-balancing power grid using IOTA for Machine-to-Machine (M2M) communication  where machines pay each other in tokens as incentive to cooper- ate to balance energy consumption in the grid. Nodes that charge bat- teries (P) are rewarded in IOTA cryptocurrency (R) when they help in balancing the grid (e.g.  charging slowly)  pro- viding an advantage to owners (C) of Power Grid nodes (T) that pro- duce electricity. Power Ledger [77] (Priv  Perm) In the era of Distributed Energy Resources (DER)  Power Ledger is a trad- ing platform  namely a network that allows con- sumers to sell energy to their peers in a trust- less environment. The Power Ledger Platform provides a transparent governance framework that allows the ecosys- tem to seamlessly inter- face with energy mar- kets around the globe. Energy producers (P) re- alize the value of their investment in DER and POWR native token (R) by monetizing their ex- cess energy (T) in much the same way as Uber and Airbnb allow peo- ple to monetize their cars and spare rooms by sell- ing them to other people (C). Industry Marketplace [78] (Pub  Unperm) The Industry Market- place is a vendor- and industry-neutral plat- form  based on IOTA  automating the trading of physical and digital goods and services. The initiative is targeted to support Industry 4.0 projects with Machine- to-Machine (M2M) economy. Industry 4.0 machine components (T) act as independent service providers (P) and con- sumers (C). Transactions are performed in IOTA cryptocurrency (R). Vehicles rental [79 80] Scooter/car/bike rental in cities. Veichles (T) are rent by renting companies (P) to people moving in the city (C) who pay the ser- vice using a cryptocur- rency (R). 4.3. Selection of Scientiﬁc Works We performed the identiﬁcation phase of PRISMA  selecting Scopus [81] as our ref- erence research article database. Scopus is the Elsevier’s abstract and citation database  launched in 2004. It covers nearly 36 377 titles from approximately 11 678 publishers  of which 34 346 are peer-reviewed journals in top-level subject ﬁelds. We used the search tool of Scopus to focus on papers related to blockchain as an IoT economy enabler.,,weak,0.0027,1.3,1.0,0,0.3619
